SYMBOL,K,K_used,Z,P,Dir,FDR
TAC1,3,3,-8.645600650555053,5.352299631188288e-18,down,1.525661317710715e-15
TMEM54,2,2,8.619751779488102,6.709940641965682e-18,up,1.525661317710715e-15
ZNF891,2,2,-8.418297718638225,3.8199403050860633e-17,down,1.525661317710715e-15
PPEF1,2,2,-8.332665023792334,7.90425692025915e-17,down,1.525661317710715e-15
7-SEP,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
ABCA5,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
ABCE1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
ABHD13,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
AC007325.2,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
AC024592.12,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
ACSL3,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
ADIRF,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
ADORA1,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
ALKBH7,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
AP3S1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
APOE,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
ARL17A,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
ARL5B,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
ARMC5,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
ATP1A2,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
ATP5I,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
AURKAIP1,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
BBIP1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
BBS10,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
BLOC1S1,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
BLOC1S3,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C12ORF57,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C19ORF52,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C19ORF53,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C19ORF60,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C1GALT1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
C1GALT1C1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
C1ORF101,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
C1ORF233,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C1ORF35,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C1QTNF4,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C20ORF27,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C3ORF14,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
C4ORF48,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
C9ORF172,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CALY,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CAMK2N2,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CBR4,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CCDC122,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CCDC85B,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CCR10,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CDH4,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CDH6,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CDK6,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CELF3,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CEND1,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CEPT1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CERS1,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CHCHD10,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CHORDC1,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CHPF,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CHST1,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CITED4,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CLEC11A,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CLEC2B,1,1,-8.209536151601386,2.2204460492503363e-16,down,1.525661317710715e-15
CLPP,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
CNTFR,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
COMT,1,1,8.209536151601386,2.2204460492503363e-16,up,1.525661317710715e-15
