SYMBOL,K,K_used,Z,P,Dir,FDR
GYPC,3,3,9.915479263645686,3.565411539129845e-23,up,2.618081693183045e-19
CHML,2,2,-9.713070195862183,2.6522534129975097e-22,down,7.060054462169668e-19
LRRC49,2,2,-9.704516639297607,2.884401931977258e-22,down,7.060054462169668e-19
NME5,2,2,-9.535627002891356,1.4898253335999692e-21,down,2.7349468561561433e-18
CD37,3,3,9.426577152431337,4.2368956477881226e-21,up,6.2223049483416365e-18
ASAH2B,2,2,-9.397823310040849,5.570347004069784e-21,down,6.817176341814071e-18
ZWILCH,3,3,-9.352906530822075,8.527158682063725e-21,down,8.669617052006744e-18
GDAP1,2,2,-9.341535111741797,9.494736135005872e-21,down,8.669617052006744e-18
CERS1,2,2,9.32961139953931,1.062597759336248e-20,up,8.669617052006744e-18
GPCPD1,2,2,-9.299544328153402,1.4104886617088225e-20,down,1.0357218242927883e-17
PPP1R2,2,2,-9.260293303072359,2.0387140638690964e-20,down,1.3609343064537068e-17
LRRTM4,2,2,-9.146693419149768,5.87028214966073e-20,down,3.592123485413228e-17
NDUFB5,2,2,-9.03266702609866,1.6753783743253673e-19,down,9.463310309747055e-17
GCNT4,2,2,-8.982146619910681,2.6553466867198066e-19,down,1.3927293371845385e-16
FZD9,3,3,8.927781857926254,4.346356457512908e-19,up,2.1276863645011523e-16
SUN2,2,2,8.720207281200912,2.7769295302053605e-18,up,8.998198311062484e-16
ID3,2,2,8.689477230013859,3.6411105973112644e-18,up,8.998198311062484e-16
RPS6KA6,2,2,-8.679045345723715,3.991045652735082e-18,down,8.998198311062484e-16
TSNAX,2,2,-8.650612900940425,5.122357619972501e-18,down,8.998198311062484e-16
PRELP,3,3,8.640856097580013,5.579335565737834e-18,up,8.998198311062484e-16
TCEAL7,2,2,-8.628302994598037,6.226894070212463e-18,down,8.998198311062484e-16
ADAMTS2,3,3,8.602241003869898,7.817441979224934e-18,up,8.998198311062484e-16
LRRC8B,2,2,-8.562061750294813,1.1086678881057743e-17,down,8.998198311062484e-16
SELPLG,2,2,8.532440137260085,1.4329270217817998e-17,up,8.998198311062484e-16
TGFB1,2,2,8.381314271363554,5.233994206799452e-17,up,8.998198311062484e-16
SIPA1,2,2,8.354600846627175,6.565433740568622e-17,up,8.998198311062484e-16
PPEF1,2,2,-8.332665023792334,7.90425692025915e-17,down,8.998198311062484e-16
HSPB1,2,2,8.310406438020419,9.537483813765379e-17,up,8.998198311062484e-16
LRP5,2,2,8.272529840725813,1.3114602469129755e-16,up,8.998198311062484e-16
ZNF365,2,2,-8.270583645448843,1.3330481178177598e-16,down,8.998198311062484e-16
LYRM9,2,2,-8.24536188924264,1.6466111258000156e-16,down,8.998198311062484e-16
UBLCP1,2,2,-8.232248960366562,1.8373090259471968e-16,down,8.998198311062484e-16
SMO,2,2,8.210861608853396,2.1960688152081795e-16,up,8.998198311062484e-16
2-MAR,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
7-SEP,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AAED1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ABCA10,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ABCA2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABCA3,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABCA5,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ABCD1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABCE1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ABHD12,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABHD13,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ABHD14A,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABHD17A,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABHD8,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ABTB1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AC007325.2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AC024592.12,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ACAA1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ACADS,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ACO2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ACSF2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ACSL3,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ACTR1B,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ACTR2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ACTR6,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ADAM10,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ADAM32,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ADAMTSL2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ADGRA1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ADGRB1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ADGRB2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ADIRF,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ADORA1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ADRM1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AES,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AGBL3,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AGO3,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AGPAT1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AGPS,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AGT,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AHDC1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AIP,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AK9,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AKT3,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ALDH2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ALDOA,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ALDOC,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ALKBH7,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ALYREF,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AMD1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AMN1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AMPD2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AMY2B,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ANAPC1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ANAPC11,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ANAPC15,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ANAPC4,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ANGEL2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ANKRD13D,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ANKRD49,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ANO8,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ANP32E,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AP1B1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AP1S2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AP2A1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AP3D1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AP3S1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AP4E1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AP5M1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AP5Z1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
APC2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
APLF,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
APOA1BP,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
APOE,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
APPL1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
APRT,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARAF,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARHGAP29,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARHGAP33,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARHGAP39,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARHGDIA,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARHGEF10L,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARHGEF4,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARID4B,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARL13B,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARL14EP,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARL15,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARL17A,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARL2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARL5A,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARL5B,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARMC1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARMC5,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARMC6,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARPP19,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ARRDC1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARVCF,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ARX,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ASB6,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ASCC3,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ASNA1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ASTN2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATAD1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATF6B,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATF7IP2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATG12,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATG2A,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATG4C,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATG4D,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATL2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATM,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATN1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP11B,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATP13A1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP13A2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP13A3,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATP1A2,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP5D,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP5G1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP5I,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATP6V1F,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
ATR,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
ATRX,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
AURKAIP1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AXL,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
AZI2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
B3GAT3,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BAHD1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BAX,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BBIP1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
BBS10,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
BCAR1,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BCAT1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
BCKDHA,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BCKDK,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BCL9L,1,1,8.209536151601386,2.2204460492503363e-16,up,8.998198311062484e-16
BCLAF1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
BCO2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
BET1,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
BIRC2,1,1,-8.209536151601386,2.2204460492503363e-16,down,8.998198311062484e-16
